,Distance,Force,Intensity,Potential
126,127,5.7139314278628555e-09,17.856035712071424,2267.716535433071
127,128,5.625e-09,17.578125,2250.0
128,129,5.538128718226068e-09,17.306652244456462,2232.5581395348836
129,130,5.4532544378698225e-09,17.041420118343197,2215.3846153846152
130,131,5.370316415127324e-09,16.782238797272885,2198.4732824427483
131,132,5.289256198347107e-09,16.52892561983471,2181.818181818182
132,133,5.210017525015546e-09,16.281304765673582,2165.4135338345864
133,134,5.1325462241033636e-09,16.039206950323013,2149.2537313432836
134,135,5.05679012345679e-09,15.802469135802468,2133.3333333333335
135,136,4.9826989619377166e-09,15.570934256055363,2117.6470588235293
136,137,4.910224306036549e-09,15.344450956364218,2102.189781021898
137,138,4.839319470699433e-09,15.122873345935728,2086.9565217391305
138,139,4.7699394441281505e-09,14.906060762900472,2071.9424460431655
139,140,4.7020408163265306e-09,14.693877551020408,2057.1428571428573
140,141,4.63558171118153e-09,14.48619284744228,2042.5531914893618
141,142,4.570521721880579e-09,14.28288038087681,2028.1690140845071
142,143,4.506821849479192e-09,14.083818279622475,2013.986013986014
143,144,4.444444444444444e-09,13.88888888888889,2000.0
144,145,4.383353151010702e-09,13.697978596908442,1986.2068965517242
145,146,4.323512854194033e-09,13.510977669356352,1972.6027397260275
146,147,4.264889629321116e-09,13.327780091628489,1959.1836734693877
147,148,4.20745069393718e-09,13.148283418553689,1945.945945945946
148,149,4.151164361965677e-09,12.972388631142742,1932.8859060402685
149,150,4.096e-09,12.8,1920.0
150,151,4.041927985614666e-09,12.631024955045831,1907.2847682119204
151,152,3.988919667590027e-09,12.465373961218837,1894.7368421052631
152,153,3.936947327950788e-09,12.302960399846214,1882.3529411764705
153,154,3.885984145724405e-09,12.143700455388768,1870.1298701298701
154,155,3.8360041623309055e-09,11.987513007284079,1858.0645161290322
155,156,3.78698224852071e-09,11.834319526627219,1846.1538461538462
156,157,3.7388940727818574e-09,11.684043977443304,1834.3949044585988
157,158,3.691716071142445e-09,11.536612722320141,1822.7848101265822
158,159,3.6454254182983267e-09,11.39195443218227,1811.3207547169811
159,160,3.6e-09,11.25,1800.0
160,161,3.5554183866363178e-09,11.110682458238493,1788.8198757763976
161,162,3.511659807956104e-09,10.973936899862826,1777.7777777777778
162,163,3.4687041288719935e-09,10.839700402724981,1766.8711656441717
163,164,3.4265318262938725e-09,10.707911957168353,1756.0975609756097
164,165,3.3851239669421487e-09,10.578512396694215,1745.4545454545455
165,166,3.3444621860937726e-09,10.451444331543039,1734.9397590361446
166,167,3.3045286672164653e-09,10.326652085051453,1724.5508982035929
167,168,3.2653061224489797e-09,10.204081632653061,1714.2857142857142
168,169,3.226777773887469e-09,10.08368054339834,1704.1420118343194
169,170,3.1889273356401384e-09,9.965397923875432,1694.1176470588234
170,171,3.151738996614343e-09,9.849184364419822,1684.2105263157894
171,172,3.1151974040021634e-09,9.73499188750676,1674.4186046511627
172,173,3.079287647432256e-09,9.622773898225802,1664.7398843930637
173,174,3.0439952437574317e-09,9.512485136741974,1655.1724137931035
174,175,3.0093061224489794e-09,9.404081632653062,1645.7142857142858
175,176,2.975206611570248e-09,9.297520661157025,1636.3636363636363
176,177,2.941683424303361e-09,9.192760700948003,1627.1186440677966
177,178,2.9087236460042923e-09,9.089761393763414,1617.9775280898875
178,179,2.8763147217627416e-09,8.988483505508567,1608.9385474860335
179,180,2.8444444444444444e-09,8.88888888888889,1600.0
180,181,2.813100943194652e-09,8.790940447483289,1591.1602209944751
181,182,2.7822726723825625e-09,8.694602101195509,1582.4175824175825
182,183,2.7519484009674817e-09,8.59983875302338,1573.7704918032787
183,184,2.7221172022684308e-09,8.506616257088847,1565.2173913043478
184,185,2.6927684441197955e-09,8.41490138787436,1556.7567567567567
185,186,2.6638917793964618e-09,8.324661810613943,1548.3870967741937
186,187,2.6354771368926763e-09,8.235866052789614,1540.1069518716577
187,188,2.6075147125396107e-09,8.148483476686284,1531.9148936170213
188,189,2.579994960947342e-09,8.062484252960443,1523.8095238095239
189,190,2.5529085872576177e-09,7.977839335180056,1515.7894736842106
190,191,2.5262465392944273e-09,7.894520435295085,1507.8534031413612
191,192,2.5e-09,7.8125,1500.0
192,193,2.4741603801444333e-09,7.731751187951354,1492.2279792746115
193,194,2.4487193112976936e-09,7.652247847805293,1484.5360824742268
194,195,2.4236686390532545e-09,7.57396449704142,1476.923076923077
195,196,2.399000416493128e-09,7.4968763015410245,1469.3877551020407
196,197,2.3747068978845114e-09,7.420959055889098,1461.9289340101523
197,198,2.3507805325987146e-09,7.3461891643709825,1454.5454545454545
198,199,2.3272139592434533e-09,7.2725436226357925,1447.2361809045226
199,200,2.304e-09,7.2,1440.0
200,201,2.2811316551570506e-09,7.128536422365783,1432.8358208955224
201,202,2.2586020978335456e-09,7.0581315557298305,1425.7425742574258
202,203,2.236404668883011e-09,6.988764590259409,1418.71921182266
203,204,2.2145328719723183e-09,6.920415224913495,1411.764705882353
204,205,2.1929803688280784e-09,6.853063652587745,1404.878048780488
205,206,2.17174097464417e-09,6.786690545763031,1398.0582524271845
206,207,2.1508086536441925e-09,6.721277042638102,1391.304347826087
207,208,2.130177514792899e-09,6.65680473372781,1384.6153846153845
208,209,2.1098418076509235e-09,6.593255648909136,1377.9904306220096
209,210,2.089795918367347e-09,6.530612244897959,1371.4285714285713
210,211,2.070034365804901e-09,6.468857393140316,1364.9289099526065
211,212,2.0505517977928086e-09,6.407974368102527,1358.4905660377358
212,213,2.0313429875024795e-09,6.347946835945249,1352.112676056338
213,214,2.0124028299414797e-09,6.288758843567123,1345.7943925233644
214,215,1.9937263385613846e-09,6.230394808004327,1339.5348837209303
215,216,1.9753086419753086e-09,6.172839506172839,1333.3333333333333
216,217,1.957144980781074e-09,6.116078064940857,1327.188940092166
217,218,1.9392307044861544e-09,6.060095951519233,1321.1009174311926
218,219,1.9215612685306814e-09,6.004878964158379,1315.0684931506848
219,220,1.9041322314049588e-09,5.950413223140496,1309.090909090909
220,221,1.88693925185807e-09,5.896685162056469,1303.1674208144796
221,222,1.8699780861943022e-09,5.843681519357195,1297.2972972972973
222,223,1.853244585654246e-09,5.791389330169519,1291.4798206278026
223,224,1.836734693877551e-09,5.739795918367347,1285.7142857142858
